benchmark,run,result
ackermann,baseline,1464231
ackermann,tracing,1464234
adj2csr,baseline,56629
adj2csr,tracing,56633
adler32,baseline,6851
adler32,tracing,6855
armstrong,baseline,133
armstrong,tracing,139
binary-fmt,baseline,100
binary-fmt,tracing,103
binary-search,baseline,78
binary-search,tracing,90
bubblesort,baseline,253
bubblesort,tracing,256
catalan,baseline,659378
catalan,tracing,659381
check-primes,baseline,8468
check-primes,tracing,8478
cholesky,baseline,3761
cholesky,tracing,3767
collatz,baseline,169
collatz,tracing,175
digital-root,baseline,247
digital-root,tracing,253
eight-queens,baseline,1006454
eight-queens,tracing,1006460
euclid,baseline,563
euclid,tracing,572
factors,baseline,72
factors,tracing,85
fib,baseline,121
fib,tracing,127
fizz-buzz,baseline,3652
fizz-buzz,tracing,3687
gcd,baseline,46
gcd,tracing,48
loopfact,baseline,116
loopfact,tracing,118
mat-inv,baseline,1044
mat-inv,tracing,1049
mat-mul,baseline,1990407
mat-mul,tracing,1990411
max-subarray,baseline,193
max-subarray,tracing,196
n_root,baseline,733
n_root,tracing,738
newton,baseline,217
newton,tracing,225
orders,baseline,5352
orders,tracing,5357
pascals-row,baseline,146
pascals-row,tracing,152
perfect,baseline,232
perfect,tracing,235
pow,baseline,36
pow,tracing,45
primes-between,baseline,574100
primes-between,tracing,574120
pythagorean_triple,baseline,61518
pythagorean_triple,tracing,61523
quadratic,baseline,785
quadratic,tracing,788
ray-sphere-intersection,baseline,142
ray-sphere-intersection,tracing,165
recfact,baseline,104
recfact,tracing,109
rectangles-area-difference,baseline,14
rectangles-area-difference,tracing,17
relative-primes,baseline,1923
relative-primes,tracing,1929
riemann,baseline,298
riemann,tracing,304
sieve,baseline,3482
sieve,tracing,3485
sqrt,baseline,322
sqrt,tracing,324
sum-bits,baseline,73
sum-bits,tracing,82
sum-divisors,baseline,159
sum-divisors,tracing,175
sum-sq-diff,baseline,3038
sum-sq-diff,tracing,3042
up-arrow,baseline,252
up-arrow,tracing,255
